1_id	1_span	1_anno_webanno::AnAntecedenteRemoto	1_anno_webanno::AnRipresaScorretta	1_anno_webanno::AnTipoRipresa	1_anno_webanno::AnaforaProblematica	1_anno_webanno::ConnProblematico	1_anno_webanno::ConnProblematicoComm	1_anno_webanno::Inciso	1_anno_webanno::MorphologicalFeatures_value	1_anno_webanno::Tint	1_anno_webanno::gender	1_anno_webanno::lemma	1_anno_webanno::mood	1_anno_webanno::number	1_anno_webanno::paragraph	1_anno_webanno::person	1_anno_webanno::pos	1_anno_webanno::pos_ud	1_anno_webanno::pronType	1_anno_webanno::tense	1_anno_webanno::text_structure	1_anno_webanno::text_structure_comment	1_anno_webanno::verbForm
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan382	per	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	per	'NULL'	'NULL'	'NULL'	'NULL'	E	ADP	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan402	per	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	per	'NULL'	'NULL'	'NULL'	'NULL'	E	ADP	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan405	oppure	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	oppure	'NULL'	'NULL'	'NULL'	'NULL'	CC	CCONJ	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan408	quando	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	quando	'NULL'	'NULL'	'NULL'	'NULL'	CS	SCONJ	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan413	oppure	'NULL'	'NULL'	'NULL'	'NULL'	true	come le due cose possono essere in alternativa?	'NULL'	'NULL'	coord-name	'NULL'	oppure	'NULL'	'NULL'	'NULL'	'NULL'	CC	CCONJ	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan434	anche	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	anche	'NULL'	'NULL'	'NULL'	'NULL'	B	ADV	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan453	perchè	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	perché	'NULL'	'NULL'	'NULL'	'NULL'	CS	SCONJ	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan472	perchè	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	perché	'NULL'	'NULL'	'NULL'	'NULL'	CS	SCONJ	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan513	infatti	'NULL'	'NULL'	'NULL'	'NULL'	false	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	infatti	'NULL'	'NULL'	'NULL'	'NULL'	B	ADV	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
salt:/itaca-v1.0-b9/AC20PA_CON02M#sSpan539	in quando	'NULL'	'NULL'	'NULL'	'NULL'	true	in quanto	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'
